"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","64,800","64,800","65,000","64,200","56.61K","1.09%"
"2024- 02- 15","64,100","65,300","65,300","64,100","47.40K","-0.93%"
"2024- 02- 14","64,700","64,600","64,900","63,800","58.33K","-0.77%"
"2024- 02- 13","65,200","65,400","65,500","64,500","0.06K","0.46%"
"2024- 02- 12","64,900","64,900","64,900","64,900","","0.00%"
"2024- 02- 08","64,900","64,900","65,300","64,300","76.30K","0.15%"
"2024- 02- 07","64,800","64,400","65,400","63,900","81.18K","1.89%"
"2024- 02- 06","63,600","63,400","65,000","63,300","55.64K","-0.47%"
"2024- 02- 05","63,900","64,100","64,600","62,900","100.58K","-1.24%"
"2024- 02- 02","64,700","64,100","65,000","63,300","78.58K","0.94%"
"2024- 02- 01","64,100","62,900","64,600","62,800","0.01K","0.94%"
"2024- 01- 31","63,500","64,200","64,900","63,500","0.00K","-1.70%"
"2024- 01- 30","64,600","65,000","65,500","64,600","0.00K","0.00%"
"2024- 01- 29","64,600","64,200","65,500","63,800","90.12K","1.73%"
"2024- 01- 26","63,500","63,100","64,500","63,100","73.75K","-0.16%"
"2024- 01- 25","63,600","63,400","63,700","62,900","41.19K","0.32%"
"2024- 01- 24","63,400","64,000","64,300","63,300","38.43K","-0.63%"
"2024- 01- 23","63,800","63,000","64,100","62,900","66.06K","1.59%"
"2024- 01- 22","62,800","63,200","63,600","62,600","70.73K","-0.32%"
"2024- 01- 19","63,000","63,000","63,700","62,500","69.77K","0.80%"
"2024- 01- 18","62,500","63,200","63,900","62,500","79.50K","-1.42%"
"2024- 01- 17","63,400","65,800","66,300","63,400","0.00K","-3.65%"
"2024- 01- 16","65,800","65,400","66,900","65,400","0.00K","0.00%"
"2024- 01- 15","65,800","66,600","67,000","65,500","90.22K","-1.50%"
"2024- 01- 14","66,800","66,800","66,800","66,800","","0.00%"
"2024- 01- 12","66,800","68,200","68,700","66,700","95.93K","-2.05%"
"2024- 01- 11","68,200","67,900","68,800","67,500","0.03K","0.15%"
"2024- 01- 10","68,100","68,700","68,700","67,600","56.90K","-0.15%"
"2024- 01- 09","68,200","68,500","69,400","68,000","64.19K","0.44%"
"2024- 01- 08","67,900","68,900","69,800","67,600","103.82K","-1.45%"
"2024- 01- 07","68,900","68,900","68,900","68,900","","0.00%"
"2024- 01- 05","68,900","69,500","70,800","68,700","106.17K","-1.57%"
"2024- 01- 04","70,000","72,600","72,700","69,800","165.41K","-3.98%"
"2024- 01- 03","72,900","73,300","73,700","72,100","0.00K","-0.55%"
"2024- 01- 02","73,300","71,700","73,700","71,500","219.42K","1.81%"
"2023- 12- 28","72,000","71,500","72,200","70,900","149.85K","1.27%"
"2023- 12- 27","71,100","70,700","71,400","69,600","144.71K","1.14%"
"2023- 12- 26","70,300","70,000","71,600","70,000","0.01K","1.30%"
"2023- 12- 25","69,400","69,400","69,400","69,400","","0.00%"
"2023- 12- 22","69,400","69,600","69,800","68,800","73.27K","0.87%"
"2023- 12- 21","68,800","69,700","70,100","68,200","82.23K","-1.99%"
"2023- 12- 20","70,200","69,400","70,400","69,200","0.01K","1.74%"
"2023- 12- 19","69,000","68,500","69,300","68,500","51.11K","0.15%"
"2023- 12- 18","68,900","69,200","69,500","68,700","60.41K","-0.29%"
"2023- 12- 15","69,100","69,800","69,800","68,400","91.13K","-0.14%"
"2023- 12- 14","69,200","68,500","70,000","68,500","112.16K","1.91%"
"2023- 12- 13","67,900","69,900","70,000","67,900","88.38K","-2.86%"
"2023- 12- 12","69,900","70,000","70,200","69,400","62.79K","0.29%"
"2023- 12- 11","69,700","71,200","71,300","69,400","73.02K","-0.43%"
"2023- 12- 10","70,000","70,000","70,000","70,000","","0.00%"
"2023- 12- 08","70,000","70,000","70,900","69,500","69.14K","0.57%"
"2023- 12- 07","69,600","69,200","70,900","69,100","112.98K","0.14%"
"2023- 12- 06","69,500","70,500","70,500","69,300","0.00K","-1.00%"
"2023- 12- 05","70,200","68,500","71,000","68,100","172.88K","2.03%"
"2023- 12- 04","68,800","68,200","70,000","67,900","0.00K","1.47%"
"2023- 12- 01","67,800","67,600","69,300","67,500","77.24K","-0.29%"
"2023- 11- 30","68,000","67,300","68,400","67,000","0.02K","0.29%"
"2023- 11- 29","67,800","68,400","69,200","67,700","61.53K","-1.02%"
"2023- 11- 28","68,500","67,000","69,500","67,000","105.78K","1.78%"
"2023- 11- 27","67,300","67,100","68,500","67,100","52.68K","-0.15%"
